Salutation,Last Name,First Name,Vlookup Name,Full Name,City,Country,Position,Department,Affiliation,E_mail,Contact Info,URL,Organization,Organization_Committee,Organization_Role,Congress,Congress_Year,Congress_Session,Congress_Title_of_Session,Congress_Role,Journal,Journal_Editorial Board,Journal_Role,Guideline_Name,Guideline_Year,Guideline_Role,CT_NCT_Id_Breast Cancer,title,recruiting,conditions,interventions,lead_sponsor,other_sponsor,phase,study_type,Role,start_dt,end_dt,First Author,Last Author,Total Pub Count,Total 2002-2006,Total 2007-2011,Total 2012-2017
,Abouharb,Sausan,Abouharb S,Sausan Abouharb,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adrada,Beatriz,Adrada B,Beatriz Adrada,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agarwal,Jay,Agarwal J,Jay Agarwal,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Reconstructive Surgery Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Albrecht,Terrance Lynn,Albrecht T,Terrance Lynn Albrecht,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/Leadership,Barbara Ann Karmanos Cancer Center,Leadership team,"Associate Center Director, Population Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alcorn,Sara Rachel,Alcorn S,Sara Rachel Alcorn,(Blank),USA,Assistant of Radiation Oncology and Molecular Radiation Sciences,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/radiation_oncologists.html,Johns Hopkins University,Johns Hopkins Breast Center,Radiation Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aliu,Oluseyi,Aliu O,Oluseyi Aliu,(Blank),USA,Assistant Professor of Plastic and Reconstructive Surgery,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/breast_plastic_reconstructive_surgeons.html,Johns Hopkins University,Johns Hopkins Breast Center,Breast Plastic and Reconstructive Surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Al-Mufarrej,Faisal,Al-Mufarrej F,Faisal Al-Mufarrej,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Plastic & Reconstructive Surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ames,Frederick C,Ames F,Frederick C Ames,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amit-Yousif,Alit,Amit-Yousif A,Alit Amit-Yousif,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Radiologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anderson,Ashley Towler,Anderson A,Ashley Towler Anderson,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/cancer-prevention-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Cancer Prevention Center,Nurse practitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anderson,Leslie,Anderson L,Leslie Anderson,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Outpatient Service Specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argani,Pedram,Argani P,Pedram Argani,(Blank),USA,Professor of Pathology,(Blank),(Blank),(Blank),(Blank),http://pathology.jhu.edu/breast/expertise.php,Johns Hopkins University,Breast Cancer & Breast Pathology,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argani,Pedram,Argani P,Pedram Argani,(Blank),USA,Professor of Pathology,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/diagnosticians/pathology.html,Johns Hopkins University,Johns Hopkins Breast Center,Diagnosticians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Armstrong,Deborah,Armstrong D,Deborah Armstrong,(Blank),USA,Professor of Oncology,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/diagnosticians/genetic_counseling_testing/,Johns Hopkins University,Johns Hopkins Breast Center,Diagnosticians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Armstrong,Deborah,Armstrong D,Deborah Armstrong,(Blank),USA,Professor of Oncology,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/medical_oncologists.html,Johns Hopkins University,Johns Hopkins Breast Center,Medical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arribas,Elsa,Arribas E,Elsa Arribas,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
